Name,Birth Country,Birth Decade,Birth Year,Gender,Latitude,Longitude,Tate URL
"Matisse, Henri",France,1/1/1860,1/1/1869,Male,50.1039,3.54424,http://www.tate.org.uk/art/artists/henri-matisse-1593
"Rouault, Georges",France,1/1/1870,1/1/1871,Male,48.8566,2.35222,http://www.tate.org.uk/art/artists/georges-rouault-1876
"Erlanger, Rodolphe d'",France,1/1/1870,1/1/1872,Male,48.8397,2.23991,http://www.tate.org.uk/art/artists/rodolphe-derlanger-1062
"Bauchant, André",France,1/1/1870,1/1/1873,Male,47.5919,0.90921,http://www.tate.org.uk/art/artists/andre-bauchant-703
"Despiau, Charles",France,1/1/1870,1/1/1874,Male,43.8935,-0.499782,http://www.tate.org.uk/art/artists/charles-despiau-1000
"Marquet, Albert",France,1/1/1870,1/1/1875,Male,44.8378,-0.57918,http://www.tate.org.uk/art/artists/albert-marquet-2332
"Vlaminck, Maurice de",France,1/1/1870,1/1/1876,Male,48.8566,2.35222,http://www.tate.org.uk/art/artists/maurice-de-vlaminck-2109
"Dufresne, Charles",France,1/1/1870,1/1/1876,Male,48.8091,1.74548,http://www.tate.org.uk/art/artists/charles-dufresne-1045
"Duchamp-Villon, Raymond",France,1/1/1870,1/1/1876,Male,48.8701,1.07342,http://www.tate.org.uk/art/artists/raymond-duchamp-villon-1037
"Dufy, Raoul",France,1/1/1870,1/1/1877,Male,49.4944,0.107929,http://www.tate.org.uk/art/artists/raoul-dufy-1038
"Ginner, Charles",France,1/1/1870,1/1/1878,Male,43.5528,7.01737,http://www.tate.org.uk/art/artists/charles-ginner-1175
"Frélaut, Jean",France,1/1/1870,1/1/1879,Male,45.1885,5.72452,http://www.tate.org.uk/art/artists/jean-frelaut-1118
"Picabia, Francis",France,1/1/1870,1/1/1879,Male,48.8566,2.35222,http://www.tate.org.uk/art/artists/francis-picabia-1766
"Friesz, Othon",France,1/1/1870,1/1/1879,Male,49.4944,0.107929,http://www.tate.org.uk/art/artists/othon-friesz-1123
"Derain, André",France,1/1/1880,1/1/1880,Male,48.8964,2.1601,http://www.tate.org.uk/art/artists/andre-derain-998
"Roy, Pierre",France,1/1/1880,1/1/1880,Male,47.2184,-1.55362,http://www.tate.org.uk/art/artists/pierre-roy-1880
"Léger, Fernand",France,1/1/1880,1/1/1881,Male,48.744,-0.016566,http://www.tate.org.uk/art/artists/fernand-leger-1488
"Gleizes, Albert",France,1/1/1880,1/1/1881,Male,48.8566,2.35222,http://www.tate.org.uk/art/artists/albert-gleizes-1178
"Braque, Georges",France,1/1/1880,1/1/1882,Male,48.9472,2.24668,http://www.tate.org.uk/art/artists/georges-braque-803
"Herbin, Auguste",France,1/1/1880,1/1/1882,Male,50.1656,3.42743,http://www.tate.org.uk/art/artists/auguste-herbin-1275
"Utrillo, Maurice",France,1/1/1880,1/1/1883,Male,48.8566,2.35222,http://www.tate.org.uk/art/artists/maurice-utrillo-2090
"Metzinger, Jean",France,1/1/1880,1/1/1883,Male,47.2184,-1.55362,http://www.tate.org.uk/art/artists/jean-metzinger-1627
"Marchand, Jean",France,1/1/1880,1/1/1883,Male,48.8566,2.35222,http://www.tate.org.uk/art/artists/jean-marchand-1575
"Dunoyer de Segonzac, André",France,1/1/1880,1/1/1884,Male,48.6892,2.53017,http://www.tate.org.uk/art/artists/andre-dunoyer-de-segonzac-1043
"Laurencin, Marie",France,1/1/1880,1/1/1885,Female,48.8566,2.35222,http://www.tate.org.uk/art/artists/marie-laurencin-1472
"Lhote, André",France,1/1/1880,1/1/1885,Male,44.8378,-0.57918,http://www.tate.org.uk/art/artists/andre-lhote-1506
"Laurens, Henri",France,1/1/1880,1/1/1885,Male,48.8566,2.35222,http://www.tate.org.uk/art/artists/henri-laurens-1473
"Delaunay, Robert",France,1/1/1880,1/1/1885,Male,48.8566,2.35222,http://www.tate.org.uk/art/artists/robert-delaunay-992
"Bissière, Roger",France,1/1/1880,1/1/1886,Male,44.247,0.450237,http://www.tate.org.uk/art/artists/roger-bissiere-757
"Levy, Simon",France,1/1/1880,1/1/1886,Male,48.5734,7.75211,http://www.tate.org.uk/art/artists/simon-levy-1943
"Ozenfant, Amédée",France,1/1/1880,1/1/1886,Male,49.8471,3.2874,http://www.tate.org.uk/art/artists/amedee-ozenfant-1731
"Maze, Paul",France,1/1/1880,1/1/1887,Male,49.4944,0.107929,http://www.tate.org.uk/art/artists/paul-maze-1602
"Duchamp, Marcel",France,1/1/1880,1/1/1887,Male,49.5039,1.29984,http://www.tate.org.uk/art/artists/marcel-duchamp-1036
"Gaudier-Brzeska, Henri",France,1/1/1890,1/1/1891,Male,47.912,1.97084,http://www.tate.org.uk/art/artists/henri-gaudier-brzeska-1143
"Desnoyer, François",France,1/1/1890,1/1/1894,Male,44.0221,1.35296,http://www.tate.org.uk/art/artists/francois-desnoyer-999
"Lartigue, Jacques-Henri",France,1/1/1890,1/1/1894,Male,48.9006,2.25929,http://www.tate.org.uk/art/artists/jacques-henri-lartigue-11403
"Eluard, Paul",France,1/1/1890,1/1/1895,Male,47.8688,2.1286,http://www.tate.org.uk/art/artists/paul-eluard-8147
"Masson, André",France,1/1/1890,1/1/1896,Male,42.4098,9.27856,http://www.tate.org.uk/art/artists/andre-masson-1590
"Breton, André",France,1/1/1890,1/1/1896,Male,48.8799,0.171253,http://www.tate.org.uk/art/artists/andre-breton-807
"Fautrier, Jean",France,1/1/1890,1/1/1898,Male,48.8566,2.35222,http://www.tate.org.uk/art/artists/jean-fautrier-1081
"Moholy-Nagy, László",Hungry,1/1/1890,1/1/1895,Male,47.1625,19.5033,http://www.tate.org.uk/art/artists/laszlo-moholy-nagy-1649
"Chowne, Gerard",India,1/1/1870,1/1/1875,Male,19.116,72.8433,http://www.tate.org.uk/art/artists/gerard-chowne-903
"Latham, James",Ireland,1/1/1690,1/1/1696,Male,52.2218,-8.55666,http://www.tate.org.uk/art/artists/james-latham-330
"Sullivan, Luke",Ireland,1/1/1700,1/1/1705,Male,53.897,-6.4671,http://www.tate.org.uk/art/artists/luke-sullivan-2716
"Hone, Nathaniel",Ireland,1/1/1710,1/1/1718,Male,53.3498,-6.26031,http://www.tate.org.uk/art/artists/nathaniel-hone-273
"Butts, John",Ireland,1/1/1720,1/1/1728,Male,51.8969,-8.48632,http://www.tate.org.uk/art/artists/john-butts-2263
"Barret, George, Senior",Ireland,1/1/1720,1/1/1728,Male,53.3498,-6.26031,http://www.tate.org.uk/art/artists/george-barret-senior-21
"Barry, James",Ireland,1/1/1740,1/1/1741,Male,51.8969,-8.48632,http://www.tate.org.uk/art/artists/james-barry-24
"Tresham, Henry",Ireland,1/1/1750,1/1/1750,Male,53.3498,-6.26031,http://www.tate.org.uk/art/artists/henry-tresham-2462
"Buck, Adam",Ireland,1/1/1750,1/1/1759,Male,51.8969,-8.48632,http://www.tate.org.uk/art/artists/adam-buck-2483
